UID          PID    PPID  C STIME TTY          TIME CMD
root         228       2  0 13:07 ?        00:00:00 [ksoftirqd/35]
root         230       2  0 13:07 ?        00:00:00 [kworker/35:0H-events_highpri]
root         231       2  0 13:07 ?        00:00:00 [cpuhp/36]
root         232       2  0 13:07 ?        00:00:00 [idle_inject/36]
root         233       2  0 13:07 ?        00:00:01 [migration/36]
root         234       2  0 13:07 ?        00:00:00 [ksoftirqd/36]
root         236       2  0 13:07 ?        00:00:00 [kworker/36:0H-events_highpri]
root         237       2  0 13:07 ?        00:00:00 [cpuhp/37]
root         238       2  0 13:07 ?        00:00:00 [idle_inject/37]
root         239       2  0 13:07 ?        00:00:01 [migration/37]
root         240       2  0 13:07 ?        00:00:00 [ksoftirqd/37]
root         242       2  0 13:07 ?        00:00:00 [kworker/37:0H-events_highpri]
root         243       2  0 13:07 ?        00:00:00 [cpuhp/38]
root         244       2  0 13:07 ?        00:00:00 [idle_inject/38]
root         245       2  0 13:07 ?        00:00:01 [migration/38]
root         246       2  0 13:07 ?        00:00:00 [ksoftirqd/38]
root         248       2  0 13:07 ?        00:00:00 [kworker/38:0H-events_highpri]
root         249       2  0 13:07 ?        00:00:00 [cpuhp/39]
root         250       2  0 13:07 ?        00:00:00 [idle_inject/39]
root         251       2  0 13:07 ?        00:00:01 [migration/39]
root         252       2  0 13:07 ?        00:00:00 [ksoftirqd/39]
root         254       2  0 13:07 ?        00:00:00 [kworker/39:0H-events_highpri]
root         255       2  0 13:07 ?        00:00:00 [cpuhp/40]
root         256       2  0 13:07 ?        00:00:00 [idle_inject/40]
root         257       2  0 13:07 ?        00:00:01 [migration/40]
root         258       2  0 13:07 ?        00:00:00 [ksoftirqd/40]
root         260       2  0 13:07 ?        00:00:00 [kworker/40:0H-kblockd]
root         261       2  0 13:07 ?        00:00:00 [cpuhp/41]
root         262       2  0 13:07 ?        00:00:00 [idle_inject/41]
root         263       2  0 13:07 ?        00:00:01 [migration/41]
root         264       2  0 13:07 ?        00:00:00 [ksoftirqd/41]
root         266       2  0 13:07 ?        00:00:00 [kworker/41:0H-kblockd]
root         267       2  0 13:07 ?        00:00:00 [cpuhp/42]
root         268       2  0 13:07 ?        00:00:00 [idle_inject/42]
root         269       2  0 13:07 ?        00:00:01 [migration/42]
root         270       2  0 13:07 ?        00:00:00 [ksoftirqd/42]
root         272       2  0 13:07 ?        00:00:00 [kworker/42:0H-events_highpri]
root         273       2  0 13:07 ?        00:00:00 [cpuhp/43]
root         274       2  0 13:07 ?        00:00:00 [idle_inject/43]
root         275       2  0 13:07 ?        00:00:01 [migration/43]
root         276       2  0 13:07 ?        00:00:00 [ksoftirqd/43]
root         278       2  0 13:07 ?        00:00:00 [kworker/43:0H-kblockd]
root         279       2  0 13:07 ?        00:00:00 [cpuhp/44]
root         280       2  0 13:07 ?        00:00:00 [idle_inject/44]
root         281       2  0 13:07 ?        00:00:01 [migration/44]
root         282       2  0 13:07 ?        00:00:00 [ksoftirqd/44]
root         284       2  0 13:07 ?        00:00:00 [kworker/44:0H-kblockd]
root         285       2  0 13:07 ?        00:00:00 [cpuhp/45]
root         286       2  0 13:07 ?        00:00:00 [idle_inject/45]
root         287       2  0 13:07 ?        00:00:01 [migration/45]
root         288       2  0 13:07 ?        00:00:00 [ksoftirqd/45]
root         290       2  0 13:07 ?        00:00:00 [kworker/45:0H-events_highpri]
root         291       2  0 13:07 ?        00:00:00 [cpuhp/46]
root         292       2  0 13:07 ?        00:00:00 [idle_inject/46]
root         293       2  0 13:07 ?        00:00:01 [migration/46]
root         294       2  0 13:07 ?        00:00:00 [ksoftirqd/46]
root         296       2  0 13:07 ?        00:00:00 [kworker/46:0H-events_highpri]
root         297       2  0 13:07 ?        00:00:00 [cpuhp/47]
root         298       2  0 13:07 ?        00:00:00 [idle_inject/47]
root         299       2  0 13:07 ?        00:00:01 [migration/47]
root         300       2  0 13:07 ?        00:00:00 [ksoftirqd/47]
